Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Untitled 6,Untitled 7,Untitled 8,Untitled 9,Untitled 10,Untitled 11,Untitled 12,Untitled 13,Untitled 14,Untitled 15,Untitled 16,Untitled 17,Untitled 18
2.476734,0.002638,0.000007,2.476735,-0.000632,1.994523,2.814351,0.001919,0.000004,2.814352,-0.26979,2.525932,7.429376,0.002211,0.002211,8.448953,0.001209,0.001209,1
2.476637,0.003456,0.000012,2.47664,-0.056308,1.95237,2.814311,0.002387,0.000006,2.814312,-0.151605,2.25661,7.424189,0.0071,0.0071,8.43821,0.004303,0.004303,1
2.476684,0.003608,0.000013,2.476686,0.030829,1.795722,2.814342,0.002788,0.000008,2.814343,-0.141835,2.040203,7.429442,0.005988,0.005988,8.440503,0.002622,0.002622,1
2.47672,0.003552,0.000013,2.476722,0.010426,1.922599,2.814305,0.002887,0.000008,2.814306,-0.018553,1.936382,7.428923,0.008742,0.008742,8.442595,0.004961,0.004961,1
2.476667,0.002447,0.000006,2.476668,0.232631,2.248088,2.814342,0.002202,0.000005,2.814343,-0.065563,2.25993,7.434147,0.005033,0.005033,8.444657,0.001886,0.001886,1
2.47667,0.002216,0.000005,2.476671,0.352246,2.63369,2.814171,0.001717,0.000003,2.814172,0.009563,2.476807,7.429587,0.006221,0.006221,8.439417,0.004715,0.004715,1
2.476763,0.002285,0.000005,2.476764,0.295974,2.546911,2.814265,0.001604,0.000003,2.814266,-0.118733,2.616081,7.427845,0.002562,0.002562,8.441563,0.003806,0.003806,1
2.476675,0.002267,0.000005,2.476676,0.235057,2.796204,2.814255,0.00152,0.000002,2.814255,-0.037672,2.611211,7.434125,0.005416,0.005416,8.441827,0.002435,0.002435,1
2.476654,0.002254,0.000005,2.476655,0.115582,2.481769,2.81424,0.001428,0.000002,2.81424,-0.025624,2.837643,7.431723,0.001859,0.001859,8.442761,0.000924,0.000924,1
2.476646,0.001665,0.000003,2.476647,-0.100821,2.481761,2.814224,0.001284,0.000002,2.814224,-0.120966,2.989419,7.429407,0.003348,0.003348,8.442992,0.000806,0.000806,1
2.476587,0.001599,0.000003,2.476588,-0.210662,2.701198,2.814334,0.001238,0.000002,2.814334,-0.069155,3.138075,7.432533,0.000929,0.000929,8.441479,0.001518,0.001518,1
2.476567,0.001626,0.000003,2.476568,-0.36663,3.033824,2.814264,0.001316,0.000002,2.814264,0.044832,2.821447,7.430233,0.000478,0.000478,8.444183,0.001152,0.001152,1
2.476652,0.001571,0.000002,2.476653,-0.07533,3.076625,2.814245,0.001237,0.000002,2.814245,-0.02161,3.093599,7.433525,0.002719,0.002719,8.441124,0.00133,0.00133,1
2.476693,0.001572,0.000002,2.476694,-0.137101,2.840343,2.814237,0.001312,0.000002,2.814238,-0.146263,2.788279,7.42882,0.001158,0.001158,8.445289,0.001366,0.001366,1
2.476498,0.001705,0.000003,2.476498,-0.048185,2.825966,2.814285,0.001338,0.000002,2.814286,-0.096623,2.749865,7.424135,0.001985,0.001985,8.446178,0.003683,0.003683,1
2.476561,0.001598,0.000003,2.476562,-0.123123,2.285009,2.814262,0.001183,0.000001,2.814262,-0.041941,2.799948,7.430253,0.002074,0.002074,8.444738,0.000747,0.000747,1
2.476467,0.001618,0.000003,2.476468,-0.031272,2.916608,2.814299,0.001133,0.000001,2.814299,0.046558,2.722882,7.435136,0.002389,0.002389,8.44416,0.000961,0.000961,1
2.47655,0.001598,0.000003,2.47655,-0.113391,2.57177,2.814306,0.001193,0.000001,2.814306,0.076476,3.26483,7.432887,0.001665,0.001665,8.443025,0.00253,0.00253,1
2.476618,0.001663,0.000003,2.476618,0.072598,2.743846,2.814314,0.001199,0.000001,2.814314,-0.001856,3.209562,7.425877,0.001865,0.001865,8.442796,0.003216,0.003216,1
2.476529,0.001682,0.000003,2.47653,-0.196315,2.508712,2.814252,0.001171,0.000001,2.814252,0.010688,2.996074,7.429337,0.002,0.002,8.443043,0.001222,0.001222,1
2.476743,0.001727,0.000003,2.476743,-0.254323,2.682653,2.814319,0.001164,0.000001,2.814319,-0.036309,3.001579,7.43321,0.000608,0.000608,8.442775,0.002616,0.002616,1
2.476651,0.001761,0.000003,2.476652,-0.070254,2.489655,2.814298,0.0011,0.000001,2.814298,0.199797,3.205862,7.426712,0.003901,0.003901,8.439766,0.001075,0.001075,1
2.476729,0.001769,0.000003,2.476729,-0.213929,2.470261,2.814204,0.001193,0.000001,2.814204,0.256997,3.180726,7.437473,0.000597,0.000597,8.440372,0.001838,0.001838,1
2.476702,0.001786,0.000003,2.476703,-0.198821,2.788233,2.814306,0.001215,0.000001,2.814306,0.171487,3.035813,7.427286,0.00133,0.00133,8.440985,0.001818,0.001818,1
2.476603,0.001923,0.000004,2.476603,-0.168018,2.368304,2.814293,0.001226,0.000002,2.814294,0.002473,3.339682,7.425311,0.000021,0.000021,8.445977,0.002675,0.002675,1
2.476587,0.002144,0.000005,2.476588,-0.083293,2.193139,2.814415,0.001158,0.000001,2.814416,-0.074275,2.799482,7.425841,0.001446,0.001446,8.444002,0.000559,0.000559,1
2.476606,0.002134,0.000005,2.476607,-0.078327,2.110371,2.814308,0.001203,0.000001,2.814308,-0.058004,3.02213,7.428077,0.001015,0.001015,8.438525,0.003553,0.003553,1
2.476632,0.00224,0.000005,2.476633,-0.079377,2.247546,2.814329,0.00121,0.000001,2.81433,-0.007759,2.61044,7.42674,0.002283,0.002283,8.441663,0.001316,0.001316,1
2.476679,0.002251,0.000005,2.47668,-0.073442,2.371741,2.814253,0.001212,0.000001,2.814253,-0.006731,3.175725,7.437597,0.000575,0.000575,8.441413,0.001853,0.001853,1
2.476655,0.002536,0.000006,2.476656,0.052361,2.14826,2.814289,0.001219,0.000001,2.814289,0.219267,3.325152,7.428785,0.000828,0.000828,8.442961,0.002265,0.002265,1
2.476595,0.002721,0.000007,2.476596,-0.079487,2.017052,2.814235,0.001218,0.000001,2.814235,0.060708,2.914614,7.438081,0.001584,0.001584,8.441836,0.000671,0.000671,1
2.476608,0.00289,0.000008,2.476609,0.080931,2.028333,2.814331,0.001249,0.000002,2.814331,0.268491,2.985982,7.430565,0.001812,0.001812,8.441772,0.000721,0.000721,1
2.476645,0.00286,0.000008,2.476647,-0.047242,2.056815,2.814228,0.001231,0.000002,2.814229,-0.060836,3.041447,7.428034,0.002734,0.002734,8.44151,0.001152,0.001152,1
2.476655,0.002991,0.000009,2.476657,-0.031421,1.892101,2.814312,0.001288,0.000002,2.814313,0.124225,3.122185,7.42565,0.002031,0.002031,8.444639,0.002459,0.002459,1
2.476614,0.003084,0.00001,2.476616,-0.076276,2.029546,2.814318,0.001306,0.000002,2.814318,0.107195,2.918208,7.42701,0.003201,0.003201,8.441704,0.002325,0.002325,1
2.476687,0.003349,0.000011,2.476689,-0.024859,1.869186,2.814247,0.001365,0.000002,2.814248,-0.002589,2.768484,7.442202,0.002643,0.002643,8.444596,0.003214,0.003214,1
2.476701,0.003405,0.000012,2.476703,0.032813,1.817938,2.814293,0.001482,0.000002,2.814294,-0.03257,2.854655,7.416621,0.001162,0.001162,8.444631,0.001703,0.001703,1
2.476611,0.003563,0.000013,2.476613,-0.019206,1.850282,2.81423,0.001389,0.000002,2.81423,0.116349,2.815389,7.436778,0.005006,0.005006,8.439636,0.002717,0.002717,1
2.476688,0.003641,0.000013,2.476691,0.030988,1.738285,2.814287,0.001463,0.000002,2.814288,0.003605,2.947781,7.437347,0.000802,0.000802,8.440216,0.003886,0.003886,1
2.476636,0.00378,0.000014,2.476639,0.056015,1.739071,2.814217,0.001648,0.000003,2.814217,0.004361,2.642212,7.41743,0.002332,0.002332,8.443704,0.002611,0.002611,1
2.476632,0.00397,0.000016,2.476635,-0.007424,1.759219,2.814233,0.001871,0.000004,2.814234,-0.005022,2.395347,7.418657,0.000865,0.000865,8.446512,0.001969,0.001969,1
2.476753,0.00396,0.000016,2.476756,0.074319,1.819313,2.814138,0.001928,0.000004,2.814139,0.079331,2.445924,7.436359,0.00526,0.00526,8.437935,0.004846,0.004846,1
2.476707,0.004001,0.000016,2.47671,0.049228,1.881567,2.814275,0.001833,0.000003,2.814276,-0.052821,2.454757,7.441362,0.002862,0.002862,8.443514,0.002009,0.002009,1
2.476513,0.003923,0.000015,2.476517,0.042417,1.822241,2.814296,0.002008,0.000004,2.814297,0.028719,2.286322,7.414395,0.00265,0.00265,8.442116,0.006196,0.006196,1
2.476655,0.003936,0.000015,2.476658,0.018428,1.859785,2.814252,0.001847,0.000003,2.814253,0.008892,2.472594,7.442295,0.001592,0.001592,8.440908,0.003138,0.003138,1
2.476636,0.003907,0.000015,2.476639,0.029989,1.808859,2.814272,0.00173,0.000003,2.814273,-0.017343,2.670038,7.42131,0.000544,0.000544,8.444105,0.002957,0.002957,1
2.476566,0.003914,0.000015,2.476569,0.021382,1.851216,2.814237,0.001691,0.000003,2.814237,0.023683,2.5033,7.411843,0.002042,0.002042,8.442262,0.006167,0.006167,1
2.476673,0.003828,0.000015,2.476676,-0.02521,1.823369,2.814298,0.001647,0.000003,2.814298,0.085439,2.852407,7.41347,0.003663,0.003663,8.446462,0.003068,0.003068,1
2.476632,0.003733,0.000014,2.476634,-0.003228,1.813474,2.81423,0.001591,0.000003,2.81423,0.008403,2.765158,7.414425,0.00181,0.00181,8.442549,0.00222,0.00222,1
2.47662,0.00362,0.000013,2.476622,0.049023,1.876789,2.814189,0.001444,0.000002,2.814189,-0.015341,2.87927,7.417625,0.001084,0.001084,8.444831,0.002653,0.002653,1
2.476648,0.003476,0.000012,2.47665,-0.032235,1.753232,2.814308,0.001415,0.000002,2.814308,0.148372,2.619792,7.441356,0.002851,0.002851,8.443077,0.002253,0.002253,1
2.476649,0.003511,0.000012,2.476651,0.008829,1.674845,2.814248,0.001316,0.000002,2.814249,0.013966,2.927437,7.417466,0.000692,0.000692,8.44283,0.000606,0.000606,1
2.476531,0.003435,0.000012,2.476534,0.020794,1.790322,2.814288,0.001343,0.000002,2.814288,0.135056,2.920965,7.432456,0.003889,0.003889,8.438634,0.000782,0.000782,1
2.476525,0.003368,0.000011,2.476528,-0.030095,1.730478,2.814256,0.001387,0.000002,2.814257,-0.176546,2.893043,7.439239,0.001424,0.001424,8.442123,0.004017,0.004017,1
2.476621,0.003323,0.000011,2.476623,-0.016204,1.761581,2.81435,0.001225,0.000001,2.81435,0.018009,3.017043,7.424723,0.002422,0.002422,8.447435,0.003909,0.003909,1
2.476626,0.003156,0.00001,2.476628,0.003593,1.786595,2.814283,0.001272,0.000002,2.814284,0.216912,2.945495,7.434666,0.001276,0.001276,8.445012,0.003613,0.003613,1
2.476666,0.003065,0.000009,2.476668,-0.014717,1.741434,2.814147,0.001218,0.000001,2.814147,0.037608,2.749088,7.442049,0.00057,0.00057,8.440974,0.002058,0.002058,1
2.476545,0.00311,0.00001,2.476547,0.005266,1.742587,2.814271,0.001297,0.000002,2.814271,-0.028258,2.947729,7.421017,0.001537,0.001537,8.441227,0.003348,0.003348,1
2.476568,0.003139,0.00001,2.47657,-0.054973,1.790854,2.814189,0.001296,0.000002,2.81419,0.058631,2.806055,7.42912,0.001566,0.001566,8.444928,0.001527,0.001527,1
2.476571,0.00297,0.000009,2.476573,-0.027104,1.826418,2.814266,0.001332,0.000002,2.814266,0.129106,3.021186,7.433888,0.00163,0.00163,8.442171,0.001581,0.001581,1
2.476631,0.002945,0.000009,2.476633,-0.01781,1.835185,2.814161,0.001332,0.000002,2.814162,0.186177,2.834449,7.440264,0.002133,0.002133,8.443999,0.004431,0.004431,1
2.476588,0.002891,0.000008,2.47659,-0.026631,1.918525,2.814223,0.001381,0.000002,2.814223,0.029148,2.981015,7.441274,0.001783,0.001783,8.44232,0.002589,0.002589,1
2.476589,0.002912,0.000008,2.476591,0.052542,1.919779,2.814196,0.001275,0.000002,2.814196,0.061616,3.326331,7.438676,0.001077,0.001077,8.441809,0.001481,0.001481,1
2.476648,0.002863,0.000008,2.47665,0.031841,1.868414,2.814253,0.001254,0.000002,2.814253,0.144312,2.907036,7.445211,0.000884,0.000884,8.444573,0.001597,0.001597,1
2.476556,0.002836,0.000008,2.476558,-0.020054,2.025596,2.814203,0.001267,0.000002,2.814204,0.047695,2.717503,7.43328,0.002102,0.002102,8.443822,0.001972,0.001972,1
2.476533,0.002804,0.000008,2.476535,0.072851,1.953816,2.814179,0.001305,0.000002,2.81418,0.174002,3.159818,7.422188,0.001309,0.001309,8.438127,0.003659,0.003659,1
2.476606,0.002847,0.000008,2.476608,-0.044537,1.92795,2.814173,0.001235,0.000002,2.814173,-0.099616,2.841443,7.433707,0.004406,0.004406,8.441479,0.002087,0.002087,1
2.476529,0.002732,0.000007,2.476531,0.005663,2.007042,2.814279,0.001322,0.000002,2.814279,-0.099717,3.185675,7.430337,0.001351,0.001351,8.44918,0.004078,0.004078,1
2.4766,0.002707,0.000007,2.476601,-0.044155,2.015387,2.814237,0.001238,0.000002,2.814237,-0.121715,3.545486,7.419848,0.001521,0.001521,8.442589,0.00166,0.00166,1
